NO;KODE BARANG;NAMA BARANG;SATUAN;SALDO AWAL;HARGA;TOTAL
2c03a2e8-7fc9-11e6-aed5-000476f4fa98;2.5.190;Obat-obatan/Pestisida Decis 2,5 EC;l;;;
2c03aca9-7fc9-11e6-aed5-000476f4fa98;2.5.191;Obat-obatan/Pestisida Decis 2,5 EC;kg;;;
2c03b664-7fc9-11e6-aed5-000476f4fa98;2.5.192;Obat-obatan/Pestisida Dithane;kg;;;
2c03c02c-7fc9-11e6-aed5-000476f4fa98;2.5.193;Obat-obatan/Pestisida Fenval;l;;;
2c03ca00-7fc9-11e6-aed5-000476f4fa98;2.5.194;Obat-obatan/Pestisida Fujiwan;l;;;
2c03d3dc-7fc9-11e6-aed5-000476f4fa98;2.5.195;Obat-obatan/Pestisida Furadan 3 G;kg;;;
2c03de62-7fc9-11e6-aed5-000476f4fa98;2.5.196;Obat-obatan/Pestisida Kanon;l;;;
2c03e823-7fc9-11e6-aed5-000476f4fa98;2.5.197;Obat-obatan/Pestisida Klerat;kg;;;
2c03f1f2-7fc9-11e6-aed5-000476f4fa98;2.5.198;Obat-obatan/Pestisida Marsahal;kg;;;
2c03fbde-7fc9-11e6-aed5-000476f4fa98;2.5.199;Obat-obatan/Pestisida Marshal 25 St;kg;;;
2c0405bf-7fc9-11e6-aed5-000476f4fa98;2.5.200;Obat-obatan/Pestisida Pounce 25 EC;kg;;;
2c041041-7fc9-11e6-aed5-000476f4fa98;2.5.201;Obat-obatan/Pestisida Regent;l;;;
2c041a23-7fc9-11e6-aed5-000476f4fa98;2.5.202;Obat-obatan/Pestisida Ripcord;l;;;
2c042410-7fc9-11e6-aed5-000476f4fa98;2.5.203;Obat-obatan/Pestisida Saturn D;kg;;;
2c042f40-7fc9-11e6-aed5-000476f4fa98;2.5.204;Obat-obatan/Pestisida Score;l;;;
2c043946-7fc9-11e6-aed5-000476f4fa98;2.5.205;Obat-obatan/Pestisida Sevin;kg;;;
2c044366-7fc9-11e6-aed5-000476f4fa98;2.5.206;Obat-obatan/Pestisida Spontan;l;;;
2c044d90-7fc9-11e6-aed5-000476f4fa98;2.5.207;Obat-obatan/Pestisida Supracide;l;;;
38b24644-7fc9-11e6-aed5-000476f4fa98;2.7.1;  Pakan Unggas   Pakan layer starter;kg;;;
38b253e9-7fc9-11e6-aed5-000476f4fa98;2.7.2;  Pakan Unggas   Pakan broiler  starter I;kg;;;
